Neat,Labelled,H#1122*,H#1136,H#1138*,H#1117*,H#1121*,XR06*,XR07*,XR26*,XR31*,XR83*,XR05*,XR10*,XR19*,XR30*,XR36*,XR37*,XR51*,XR52*,XR65*,H#3706*,XR41*,XR04*,XR61*,XR15*,XR18*,XR25*,XR28*,XR32*,XR44*
1,blank,2.1274,2.0218,2.0493,2.0017,2.112,2.1555,2.018,2.0474,2.597,2.262,2.072,2.534,2.479,2.247,2.139,2.198,2.562,2.0232,2.02,2.43,2.2512,2.0648,2.707,2.531,2.516,2.1186,2.166,2.084,2.0916
2,H#1104,0.627,0.7392,1.2639,1.3542,1.208,1.8735,0.414,0.55825,2.783,2.21,0.7308,2.609,2.54,2.117,1.776,2,2.031,1.8648,2.184,2.454,2.082,2,2.454,2.222,1.86,1.6038,2.049,2,1.1536
3,H#1122,0.77,0.6336,1.3134,0.7474,0.626,1.5675,2.002,1.82845,2.9,2.215,1.967,2.57,2.468,2.039,1.547,2,2.163,1.9176,2,2.462,2.3052,2.088,2.789,2.281,1.872,1.727,2.76,1.832,1.6436
4,H#1117,1.1176,0.9702,1.551,0.6697,1.192,1.638,1.31,1.6153,2.571,2.021,1.8228,2.705,2.286,2.351,1.641,2.092,2.383,1.644,1.878,2.062,1.9596,1.66605,2.363,2.329,1.398,1.8194,2.205,1.648,1.3356
5,XR07,2.1208,1.232,2,0.8917,1.608,1.218,0.414,1.67765,2.075,2.114,1.6982,2.563,2.261,2.276,1.578,2,2.56,1.68,1.832,2.456,2.454,2.0793,2.193,2.289,1.362,1.6038,2.046,2.024,1.2656
6,H#4314,1.7952,1.0032,1.8942,0.962,1.52,1.353,0.33,0.5684,1.267,1.57,0.8568,3.144,2.67,2.334,1.913,2,2.24,2.0784,2.164,2.141,1.7832,1.6559,2.401,2.199,1.984,1.705,1.551,2,1.2096
7,H#1111,1.3508,1.7886,1.5873,1.7057,1.58,1.839,1.226,1.0933,2.534,2.395,1.4168,2.698,2.483,2.307,1.85,1.496,2.124,0.6888,1.026,2.735,2.2188,2,2.959,2.322,2.098,1.8656,2.631,0.514,1.0192
8,H#1136,1.9756,1.6368,2,1.3505,1.542,1.7205,2,1.96185,2.903,2.16,2.009,2.707,2.494,2.334,1.637,2.354,2.541,1.7928,1.956,2.346,2.3256,2,2.667,2.331,1.84,1.936,1.611,2.058,1.3244
9,H#1120,1.507,1.5004,2,1.406,1.442,1.488,1.172,1.6791,2.594,2.163,1.9404,2.504,2.594,2.216,1.732,2.044,2.2,1.4784,1.718,2.591,1.8696,1.7574,2.751,2.529,2.142,1.7732,1.956,1.944,1.008
10,H#1121,1.7974,2,2,1.6835,1.844,1.7385,1.466,1.59355,2.866,2.22,1.5876,2.264,2.457,2.11,1.792,1.394,2.248,0.5856,0.962,2.188,2.0904,1.84875,2.217,2.246,1.77,1.837,2.844,0.15,1.0248
