Neat,Labelled,XN02*,XN07*,XN55*,XN56*,XN57*,XN58*,XN60*,X200*,X202*,X32*,NP3706*,X211*,X155*,X41*,NP1501*,NP1517*,X221*,NP1508*,NP1527*,NP1518*,X223*
1,blank,2.06,2.02,2.03,2.06,2.18,2,2.09,2.05,2.07,2.01,2.01,2.04,2.02,2.04,2.05,2.15,2.04,2.02,2.09,2.04,2.04
2,XN01,0.46,0.17,1.33,1,1.53,0.24,1.29,1.84,0.59,0.8,1.27,1.64,1.78,0.34,1.34,1.96,2.03,1.92,1.7,1.63,0.58
3,XN02,0.41,0.12,1.18,0.92,1.5,0.18,1.17,1.7,0.64,0.79,1.17,1.51,1.71,0.3,1.14,1.9,1.92,1.88,1.69,1.54,0.54
4,XN03,0.35,0.11,1.03,1.32,1.46,0.18,1.13,1.76,0.64,0.76,1.13,1.44,1.79,0.27,1.19,1.9,1.89,1.85,1.54,1.53,0.51
5,XN04,1.92,1.6,1.3,1.98,2.06,2.04,1.81,1.88,1.4,1.9,1.34,1.62,1.87,1.85,1.7,2.03,1.93,1.91,1.75,2.01,1.78
6,XN07,0.33,0.15,1.11,0.87,1.49,0.24,1.22,1.71,0.82,0.72,1.47,1.51,1.72,0.28,1.52,2.01,1.92,1.9,1.58,1.67,0.53
7,XN08,0.31,0.15,1.17,0.83,1.52,0.23,1.24,1.83,0.77,0.63,1.31,1.53,1.8,0.25,1.41,1.96,1.94,1.99,1.65,1.57,0.47
8,XN14,1.89,1.59,1.42,1.98,2.08,2.09,1.65,1.78,1.94,1.78,1.32,1.6,1.63,2.02,1.11,1.94,2.05,2,1.84,2.02,1.82
9,XN15,1.86,1.46,2.34,1.91,1.95,2.11,1.65,1.98,1.69,1.87,1.71,1.92,1.9,1.64,1.81,2.01,1.99,2.03,1.94,2.02,2
10,XN21,1.88,1.52,1.45,1.99,1.92,1.99,1.56,0.14,1.75,1.58,1.21,1.49,1.64,1.64,0.96,1.84,1,0.66,1.81,1.97,2
11,XN23,0.39,0.12,1.15,1,1.39,0.19,1.02,1.72,0.72,0.86,0.96,1.47,1.73,0.36,1.15,1.86,1.91,1.9,1.71,1.59,0.69
12,XN24,1.88,1.52,1.44,2.04,1.97,1.92,1.65,1.93,1.94,1.88,1.38,1.67,1.83,1.77,1.65,1.92,2.01,1.85,1.82,1.95,1.93
13,XN43,1.83,1.55,1.34,1.92,1.96,1.98,1.69,1.8,2.02,1.78,1.25,1.69,1.75,1.65,1.56,2.01,1.94,1.91,1.78,1.98,1.93
14,XN54,1.79,1.37,1.49,1.93,1.9,1.87,1.64,1.81,1.68,1.72,1.28,1.67,1.82,1.67,1.59,2.01,1.93,1.88,1.87,2.02,1.94
15,XN55,1.44,0.81,0.36,1.74,1.66,1.51,1.28,1.81,1.37,1.43,1.63,0.26,1.72,1.08,1.27,1.96,1.96,1.91,0.79,1.79,1.47
16,XN56,0.45,0.13,1.44,1.08,1.72,0.14,1.37,1.89,0.73,0.81,1.29,1.78,1.72,0.47,1.56,1.9,2,1.91,1.8,1.73,0.91
17,XN57,1.6,1.39,2.33,1.87,0.21,2.11,0.43,1.93,1.6,1.41,1.57,1.73,1.84,0.44,0.7,2.02,2.05,1.95,1.97,0.86,1.3
18,XN58,0.51,0.14,1.5,1.06,1.61,0.2,1.43,1.83,0.93,0.87,1,1.4,1.74,0.43,0.96,1.89,1.98,1.93,1.65,1.7,0.79
19,XN59,1.81,1.28,1.38,1.89,1.62,1.65,1.28,1.78,1.19,1.61,1.15,1.12,1.71,1.34,0.95,1.88,1.97,1.97,1.46,1.84,1.75
20,XN60,1.66,1.08,2.29,1.85,0.43,1.69,0.5,1.71,1.78,1.6,1.42,1.62,1.72,0.83,0.8,1.82,1.94,1.86,1.89,1.27,1.44
21,X202,1.36,0.55,1.49,1.72,1.84,1.1,1.53,1.85,1.36,1.41,1.07,1.25,1.71,1.19,0.92,1.94,1.92,1.89,1.65,1.93,1.57
22,X218,1.3,0.45,1.25,1.68,1.3,0.99,1.04,1.77,1.21,1.28,0.91,1.46,1.78,0.8,1.11,1.85,2.02,1.88,1.61,1.64,1.46
23,NP1518,1.61,1.25,1.47,1.84,0.27,1.96,0.5,1.83,1.65,1.5,1.06,1.4,1.71,0.44,0.86,1.91,1.93,1.88,1.71,0.8,1.13
24,NP1527,1.84,1.49,1.09,1.86,1.78,1.96,1.6,1.89,0.79,1.6,2.04,0.53,1.78,1.68,1.18,1.93,1.99,1.98,1.01,1.88,1.77
25,X32,0.76,0.46,2.04,1.2,1.48,0.97,1.25,1.85,0.86,0.96,1.49,1.79,1.79,0.6,1.45,1.93,2.13,1.87,1.85,1.51,1.18
26,X41,0.87,0.19,1.77,1.31,0.69,0.37,0.58,1.83,1.08,1.18,1.39,1.78,1.75,0.69,1.2,1.95,2.22,1.92,1.83,1.3,1.32
