label,NP1501*,NP1502*,NP1503*,NP1508*,NP1510*,NP1514*,NP1516*,NP1517*,NP1518*,NP1520*,NP1521*,NP1522*,NP1524*,NP1525*,NP1527*,NP3706*,NP3715*,X32*,X41*,X155*,X200*,X201*,X202*,X211*,X213*,X215*,X217*,X220*,X221*,X223*,X233*,X271*
NP1501,0.59,0.33,0.22,0.27,0.32,0.76,0.64,0.76,0.27,0.39,0.45,0.47,0.17,0.32,0.4,0.12,0.18,0.19,0.42,0.08,0.44,0.41,0.55,0.14,0.08,0.42,0.25,0.2,0.35,0,0.38,0.13
NP1502,0.18,0.6,0.75,0.86,0.79,0.66,0.43,0.59,0.14,0.81,0.51,0.88,0.16,0.86,0.43,0.1,0.16,-0.08,0.32,0.12,0.84,0.9,0.45,0.15,0.06,0.5,0.23,0.19,0.78,0.03,0.34,0.71
NP1503,0.29,0.71,0.95,0.96,0.94,0.71,0.39,0.63,0.15,0.93,0.47,0.95,0.18,0.95,0.39,0.21,0.15,-0.03,0.39,0.08,0.93,0.92,0.46,0.16,0.08,0.45,0.21,0.18,0.92,-0,0.25,0.92
NP1507,0.61,0.2,0.47,0.57,0.53,0.83,0.64,0.86,0.11,0.52,0.46,0.61,0.19,0.59,0.41,0.14,0.2,0.06,0.34,0.1,0.69,0.46,0.46,0.14,0.07,0.54,0.25,0.16,0.51,0.04,0.18,0.4
NP1508,0.33,0.64,0.89,0.94,0.89,0.68,0.28,0.63,0.02,0.86,0.49,0.93,0.16,0.91,0.43,0.16,0.16,-0.06,0.32,0.08,0.88,0.9,0.45,0.12,0.07,0.5,0.26,0.22,0.85,0.06,0.15,0.83
NP1510,0.28,0.64,0.84,0.93,0.86,0.54,0.33,0.53,0.14,0.77,0.39,0.9,0.19,0.91,0.41,0.18,0.2,-0.24,0.32,0.07,0.87,0.89,0.43,0.19,0.12,0.48,0.3,0.25,0.83,0.03,0.24,0.84
NP1512,0.27,0.26,0.36,0.47,0.41,0.31,0.13,0.34,0.3,0.15,0.41,0.48,0.19,0.46,0.41,0.26,0.24,-0.16,0.35,0.01,0.61,0.75,0.49,0.17,0.25,0.33,0.38,0.24,0.52,0.15,0.18,0.56
NP1514,0.59,0.23,0.2,0.29,0.29,0.77,0.58,0.77,0.12,-0.03,0.42,0.43,0.09,0.27,0.28,0.19,0.11,0.1,0.3,0.02,0.38,0.42,0.42,0.13,0.1,0.27,0.24,0.1,0.36,0,0.37,0.32
NP1516,0.65,0.03,0.28,0.34,0.37,0.83,0.74,0.86,0.18,0.22,0.58,0.53,0.21,0.36,0.47,0.24,0.19,0.11,0.35,0.1,0.54,0.41,0.5,0.15,0.13,0.46,0.26,0.15,0.41,-0.02,0.29,0.31
NP1517,0.61,0.4,0.42,0.48,0.47,0.86,0.76,0.93,0.01,0.37,0.62,0.61,0.23,0.41,0.5,0.16,0.2,0.18,0.37,0.1,0.64,0.37,0.58,0.18,0.15,0.54,0.26,0.16,0.47,0.02,0.29,0.28
NP1518,0.53,0.4,0.25,0.33,0.34,0.77,0.53,0.69,0.76,0.25,0.64,0.43,0.6,0.32,0.58,0.41,0.78,0.11,0.9,0.45,0.57,0.15,0.63,0.35,0.44,0.55,0.83,0.27,0.36,0.43,0.72,0.21
NP1520,0.39,0.53,0.94,0.96,0.94,0.71,0.5,0.63,0.28,0.91,0.6,0.95,0.25,0.96,0.46,0.2,0.26,-0.05,0.45,0.12,0.91,0.9,0.55,0.12,0.14,0.62,0.33,0.18,0.91,0.03,0.27,0.91
NP1521,0.51,0.41,0.32,0.36,0.37,0.59,0.46,0.48,-0.04,0.15,0.9,0.47,0.21,0.32,0.47,-0.03,0.2,-0.07,0.4,0.11,0.5,0.29,0.54,0.16,0.11,0.66,0.29,0.19,0.37,0.01,0.22,0.15
